"id";"submitdate";"lastpage";"startlanguage";"seed";"startdate";"datestamp";"Q01";"Q02";"Q02[other]";"Q03";"Q03[other]";"Q04";"Q04[other]";"Q08[SQ001]";"Q08[SQ002]";"Q08[SQ003]";"Q08[SQ004]";"Q09[SQ001]";"Q09[SQ002]";"Q09[SQ003]";"E01Q01[SQ001]";"E01Q01[SQ002]";"E01Q01[SQ003]";"E01Q01[SQ004]";"E01Q01[SQ005]";"E01Q01[SQ006]";"E01Q01[SQ007]";"E01Q01[SQ008]";"E01Q01[SQ009]";"E01Q01[SQ010]";"E02Q01[SQ001]";"E02Q01[SQ002]";"E02Q01[SQ003]";"E02Q01[SQ004]";"E02Q01[SQ005]";"E02Q01[SQ006]";"E02Q01[SQ007]";"E02Q01[SQ008]";"E02Q01[SQ009]";"E02Q01[SQ010]";"E03Q01[SQ001]";"E03Q01[SQ002]";"E03Q01[SQ003]";"E03Q01[SQ004]";"E03Q01[SQ005]";"E03Q01[SQ006]";"E03Q01[SQ007]";"E03Q01[SQ008]";"E03Q01[SQ009]";"E03Q01[SQ010]";"Q99";"interviewtime";"groupTime281";"Q01Time";"Q02Time";"Q03Time";"Q04Time";"Q08Time";"Q09Time";"groupTime282";"E01Q01Time";"groupTime283";"E02Q01Time";"groupTime284";"E03Q01Time";"groupTime285";"Q99Time"
"19";"2019-07-14 15:00:08";"5";"en";"";"2019-07-14 14:44:33";"2019-07-14 15:00:08";"22";"Male";"";"Bachelor's degree (BA)";"";"Other";"Economics";"More than once per day";"More than once per day";"Not once";"Not once";"2";"2";"3";"4";"3";"3";"2";"3";"2";"2";"2";"3";"1";"4";"1";"4";"3";"5";"2";"4";"1";"4";"2";"2";"3";"2";"2";"4";"1";"3";"4";"2";"2";"";"941.46";"192.46";"";"";"";"";"";"";"221.62";"";"204.39";"";"219.41";"";"103.58";""
"20";"2019-07-16 16:32:50";"5";"en";"1063858435";"2019-07-16 16:01:53";"2019-07-16 16:32:50";"22";"Female";"";"High school degree or equivalent";"";"Informatics";"";"More than once per day";"More than once per day";"Daily";"Less than one to three times a month";"5";"5";"5";"4";"2";"3";"1";"4";"4";"4";"2";"5";"1";"5";"1";"5";"1";"4";"1";"4";"1";"5";"1";"2";"3";"2";"1";"4";"2";"4";"3";"4";"1";"Der Punkt bei der Tastatur braucht lange um sich zu füllen. Es ist nicht einfach präzise einzelne Tasten anzusteuern.";"1856.23";"202.08";"";"";"";"";"";"";"505.76";"";"545.83";"";"441.6";"";"160.96";""
"21";"2019-07-16 20:25:28";"5";"en";"";"2019-07-16 20:10:24";"2019-07-16 20:25:28";"27";"Male";"";"Master's degree (MA)";"";"Other";"Technology Management";"More than once per day";"More than once per day";"Less than one to three times a month";"Not once";"4";"5";"4";"4";"1";"4";"1";"5";"3";"3";"2";"5";"1";"5";"1";"5";"1";"5";"1";"5";"1";"4";"1";"4";"1";"5";"1";"4";"1";"5";"1";"5";"1";"Tippen mit der Tastatur waere schneller gegangen, wenn der Lag kuerzer eingestellt ist. ";"907.05";"109.34";"";"";"";"";"";"";"200.52";"";"176.8";"";"370.49";"";"49.9";""
"24";"2019-07-19 16:35:22";"5";"en";"1015122631";"2019-07-19 16:18:22";"2019-07-19 16:35:22";"21";"Male";"";"High school degree or equivalent";"";"Informatics";"";"More than once per day";"More than once per day";"Daily";"Less than one to three times a month";"3";"4";"3";"4";"1";"4";"1";"5";"1";"5";"1";"4";"1";"4";"1";"5";"1";"5";"1";"5";"2";"4";"1";"1";"2";"1";"2";"3";"1";"4";"5";"2";"1";"The Keyboard was hard to use. i would prefer a touch - move to key - release approach instead of waiting. Would need blank space for cancel.";"1022";"102.41";"";"";"";"";"";"";"269.19";"";"262.59";"";"337.58";"";"50.23";""
"25";"2019-07-19 17:01:51";"5";"en";"280023397";"2019-07-19 16:30:12";"2019-07-19 17:01:51";"22";"Male";"";"High school degree or equivalent";"";"Informatics";"";"More than once per day";"More than once per day";"One to three times a month";"Not once";"2";"2";"1";"1";"2";"2";"2";"3";"4";"3";"4";"2";"2";"3";"1";"4";"1";"4";"2";"5";"1";"4";"1";"2";"3";"1";"2";"2";"3";"3";"4";"2";"2";"For the keyboard experiment: feedback when and what character has been typed would be nice. I always had to check whether a character was accepted or if I was to fast moving away as the circle was closing. ";"1901.63";"157.9";"";"";"";"";"";"";"455.68";"";"551.52";"";"440.41";"";"296.12";""
"26";"2019-07-19 17:01:19";"5";"en";"856641770";"2019-07-19 16:39:12";"2019-07-19 17:01:19";"22";"Male";"";"High school degree or equivalent";"";"Informatics";"";"More than once per day";"Daily";"More than three times a week";"Not once";"1";"3";"3";"2";"1";"5";"1";"5";"1";"5";"1";"2";"1";"5";"1";"5";"1";"5";"1";"4";"1";"5";"1";"2";"1";"2";"1";"1";"3";"3";"1";"2";"1";"";"1329.25";"95.49";"";"";"";"";"";"";"387.42";"";"302.26";"";"536.14";"";"7.94";""
"27";"2019-07-19 17:17:52";"5";"en";"949698095";"2019-07-19 17:02:30";"2019-07-19 17:17:52";"21";"Male";"";"High school degree or equivalent";"";"Informatics";"";"More than once per day";"Daily";"More than three times a week";"Not once";"2";"4";"3";"4";"1";"5";"1";"5";"1";"5";"1";"5";"1";"4";"1";"5";"1";"5";"1";"5";"2";"5";"1";"4";"2";"4";"2";"4";"1";"3";"2";"4";"1";"I would like to have a vibration feedback for the virtual keyboard
I didn't like that the text was not on eye level instead i needed to put my head a bit back";"924.18";"70.03";"";"";"";"";"";"";"288.96";"";"218.38";"";"292.48";"";"54.33";""
"28";"2019-07-19 17:24:38";"5";"en";"825223059";"2019-07-19 17:06:09";"2019-07-19 17:24:38";"22";"Male";"";"High school degree or equivalent";"";"Informatics";"";"More than once per day";"More than once per day";"Less than one to three times a month";"One to three times a week";"5";"5";"5";"5";"1";"5";"1";"5";"1";"5";"1";"5";"5";"2";"2";"4";"1";"4";"1";"5";"3";"4";"1";"2";"4";"3";"4";"2";"1";"5";"5";"2";"1";"Space bar was hard to reach on the phone";"1110.38";"92.22";"";"";"";"";"";"";"176.37";"";"487.42";"";"329.31";"";"25.06";""
"29";"2019-07-28 17:09:11";"5";"en";"634672148";"2019-07-28 16:44:20";"2019-07-28 17:09:11";"21";"Male";"";"High school degree or equivalent";"";"Other";"Pharmacy";"More than once per day";"One to three times a week";"More than three times a week";"Less than one to three times a month";"3";"3";"5";"4";"2";"5";"1";"4";"2";"3";"2";"4";"1";"4";"1";"5";"1";"5";"1";"4";"1";"4";"1";"3";"1";"4";"1";"4";"1";"4";"3";"5";"1";"Cursor bei der Tastatur einfügen, sonst sieht man nicht, ob man schon ein Leerzeichen geschrieben hat. Pfeiltasten oder ähnliches, um Fehler weiter vorne im Text zu korrigieren.";"1492.78";"288.08";"";"";"";"";"";"";"259.04";"";"221.82";"";"595.91";"";"127.93";""
"30";"2019-07-28 18:12:44";"5";"en";"1334700790";"2019-07-28 17:56:32";"2019-07-28 18:12:44";"20";"Male";"";"High school degree or equivalent";"";"Other";"Publishing";"More than once per day";"More than once per day";"Not once";"Not once";"2";"4";"4";"4";"1";"5";"1";"4";"1";"5";"2";"3";"1";"4";"1";"5";"1";"4";"2";"5";"2";"3";"1";"4";"1";"4";"2";"4";"1";"5";"2";"4";"2";"";"974.32";"100.28";"";"";"";"";"";"";"319.41";"";"183.95";"";"360.29";"";"10.39";""
"31";"2019-07-28 19:44:45";"5";"en";"1793170251";"2019-07-28 19:28:02";"2019-07-28 19:44:45";"21";"Male";"";"High school degree or equivalent";"";"Law";"";"More than once per day";"Daily";"One to three times a week";"Not once";"3";"4";"5";"4";"1";"5";"1";"5";"1";"5";"2";"5";"1";"5";"1";"5";"1";"5";"1";"5";"1";"5";"1";"5";"2";"4";"1";"5";"1";"4";"1";"5";"1";"Coole Idee. Handy hat ja sowieso jeder. ";"1004.69";"91.19";"";"";"";"";"";"";"232.03";"";"338.5";"";"295.5";"";"47.47";""
"32";"2019-07-28 21:31:24";"5";"en";"1432550404";"2019-07-28 21:17:00";"2019-07-28 21:31:24";"24";"Male";"";"Bachelor's degree (BA)";"";"Other";"Automation and Robotics";"More than once per day";"More than once per day";"Not once";"Not once";"3";"4";"2";"4";"1";"5";"2";"4";"2";"5";"3";"5";"2";"3";"2";"4";"1";"3";"2";"5";"2";"3";"2";"4";"2";"5";"1";"2";"3";"4";"2";"4";"1";"1:1 mapping not usefull";"866.84";"79.59";"";"";"";"";"";"";"185.67";"";"296.4";"";"294.77";"";"10.41";""
"33";"2019-07-28 21:56:39";"5";"en";"611732154";"2019-07-28 21:37:47";"2019-07-28 21:56:39";"21";"Male";"";"High school degree or equivalent";"";"Other";"Computational Biology";"More than once per day";"Daily";"One to three times a week";"One to three times a month";"3";"4";"3";"4";"1";"5";"1";"3";"1";"5";"1";"5";"1";"4";"1";"5";"1";"5";"1";"5";"1";"5";"1";"3";"1";"5";"1";"4";"1";"5";"2";"4";"1";"The sensitivity of pointer movement in the keyboard system could be less, not to drop the input in a certain range of natural human finger instability. Otherwise, the stability of time to type a character is gone, limiting a user's comfort using the system.";"1134.2";"71.13";"";"";"";"";"";"";"329.12";"";"238.84";"";"325.85";"";"169.26";""

